Nome,Tipo,Coordinate
McDonald's,fast_food,"(45.8374315, 9.0630129)"
Eni,fuel,"(45.7903322, 9.0839899)"
Eni,fuel,"(45.8123877, 9.0724047)"
Q8,fuel,"(45.8321006, 9.0716282)"
Q8,fuel,"(45.7850904, 9.0722385)"
Eni,fuel,"(45.784038, 9.059944)"
IP,fuel,"(45.785449, 9.060304)"
Eni,fuel,"(45.7648199, 9.0985044)"
Farmacia Dr. Bonduri,pharmacy,"(45.8084729, 9.0896917)"
Eni,fuel,"(45.8021203, 9.0911955)"
Momigi,restaurant,"(45.8085117, 9.0886429)"
Tokyo,restaurant,"(45.8082009, 9.0884431)"
Crotto del Lupo,restaurant,"(45.8263158, 9.0566558)"
Villa Aprica,hospital,"(45.8234998, 9.06106)"
Fontana di Camerlata,fountain,"(45.790387, 9.0844808)"
Bani,pharmacy,"(45.8077281, 9.0844989)"
Cafè Maya,cafe,"(45.8059704, 9.0855155)"
Bar Caffè Mondo,bar,"(45.8006539, 9.0864665)"
Farmacia Santa Teresa,pharmacy,"(45.8120802, 9.0700556)"
Veterinario,veterinary,"(45.8081305, 9.0775815)"
Da Filippo,restaurant,"(45.7999701, 9.0896387)"
Caffetteria Olybar,cafe,"(45.8104027, 9.0929235)"
Farmacia di Albate,pharmacy,"(45.7789329, 9.0979525)"
Credito Valtellinese,bank,"(45.8035449, 9.085285)"
Re. Mi. Garden Bar,bar,"(45.7872063, 9.0520811)"
Caffè Maya,cafe,"(45.809675, 9.083619)"
Drago Verde,drinking_water,"(45.8128473, 9.0813452)"
Moschea,place_of_worship,"(45.7957064, 9.0942999)"
Carrefour Metano,fuel,"(45.7864641, 9.0538212)"
CineTeatro Cristallo,theatre,"(45.7928936, 9.064733)"
Capriccio,restaurant,"(45.8096348, 9.0871726)"
Il Gelatone,ice_cream,"(45.8033172, 9.0864428)"
Como 2,post_office,"(45.8031771, 9.0860461)"
Ton-Thai,restaurant,"(45.8033887, 9.0864125)"
Granpizza,food_court,"(45.8033493, 9.0864284)"
La Gitana,restaurant,"(45.8035136, 9.0863946)"
Carige,bank,"(45.801824, 9.086155)"
Castello d'Oro,restaurant,"(45.8020135, 9.086623)"
Santa Chiara,cafe,"(45.802027, 9.0861515)"
Don Lisander,restaurant,"(45.8127247, 9.0778196)"
Credito Bergamasco,bank,"(45.8127829, 9.0782859)"
Gelateria Lariana,ice_cream,"(45.8128554, 9.0797402)"
13:13,restaurant,"(45.8117663, 9.0849337)"
La Nuova Vignascia,cafe,"(45.8223369, 9.061948)"
Bar di Prestino,bar,"(45.801143, 9.0586316)"
Farmacia di Prestino,pharmacy,"(45.8011219, 9.0583236)"
Pub Il Ritrovo,pub,"(45.8009542, 9.0585507)"
Poste Italiane,post_office,"(45.7789178, 9.079548)"
La Griglia,restaurant,"(45.8125285, 9.0852965)"
Cittadella,cafe,"(45.801726, 9.0930275)"
Cafè Thai,restaurant,"(45.8008683, 9.095322)"
Baby café,cafe,"(45.8017456, 9.0927485)"
Il Dadino,cafe,"(45.8036678, 9.0937034)"
Don Segundo Sombra,restaurant,"(45.8008873, 9.058293)"
Cactus Juice Cafe - Como,restaurant,"(45.805696, 9.0871584)"
Brigitte Café,bar,"(45.7978245, 9.0914362)"
Civico XV,pub,"(45.7989233, 9.093934)"
Como 7,post_office,"(45.7944276, 9.0965658)"
Crotto del Tiglio,restaurant,"(45.8233266, 9.0655512)"
Como Centro,post_office,"(45.8101883, 9.07601)"
L'Ultimo Café,bar,"(45.8052425, 9.0864084)"
Cioccolati Italiani,cafe,"(45.8059014, 9.0847182)"
Birreria 35,pub,"(45.8080492, 9.0835757)"
Mad Café,bar,"(45.8125727, 9.0876786)"
Gelateria Chiara,ice_cream,"(45.8144859, 9.0840865)"
Arte Dolce - Cremeria Bolla,cafe,"(45.8076448, 9.0843786)"
Questura di Como,police,"(45.8036788, 9.0828968)"
Como San Giovanni FS,bus_station,"(45.8089888, 9.0730457)"
Como Sant'Agostino,bus_station,"(45.8151524, 9.0839877)"
Burgez,fast_food,"(45.8073783, 9.084557)"
Como,ferry_terminal,"(45.8134817, 9.0797573)"
Tavernola,ferry_terminal,"(45.8308936, 9.0725444)"
Pronto Soccorso Veterinario,veterinary,"(45.7986858, 9.0866073)"
Cardamomo,restaurant,"(45.804709, 9.0916882)"
Como 5,post_office,"(45.8072852, 9.0960385)"
Pinzimonio,restaurant,"(45.8095329, 9.0831466)"
Abbeveratoio del Genio Militare,fountain,"(45.8208667, 9.0405792)"
Nostrale,bar,"(45.7842608, 9.0706095)"
Hotel Ristorante Falchetto,restaurant,"(45.8234935, 9.0877193)"
Panino Buono,cafe,"(45.8112348, 9.0789355)"
Sakura Sushi,restaurant,"(45.8074369, 9.0766955)"
Farmacia Tioli,pharmacy,"(45.8085708, 9.0790123)"
