Nome,Tipo,Coordinate,Distance_from_POI
McDonald's,fast_food,"(45.8374315, 9.0630129)",3.272256903275227
Eni,fuel,"(45.7903322, 9.0839899)",2.384190903923268
Eni,fuel,"(45.8123877, 9.0724047)",0.8792013493802519
Q8,fuel,"(45.8321006, 9.0716282)",2.4449783489289985
Q8,fuel,"(45.7850904, 9.0722385)",3.0972357196353646
Eni,fuel,"(45.784038, 9.059944)",3.5937649875225026
IP,fuel,"(45.785449, 9.060304)",3.4452753479985887
Eni,fuel,"(45.7648199, 9.0985044)",5.345402050611188
Farmacia Dr. Bonduri,pharmacy,"(45.8084729, 9.0896917)",0.5944583911718395
Eni,fuel,"(45.8021203, 9.0911955)",1.222360862776893
Momigi,restaurant,"(45.8085117, 9.0886429)",0.5298368363794348
Tokyo,restaurant,"(45.8082009, 9.0884431)",0.5434152213250636
Crotto del Lupo,restaurant,"(45.8263158, 9.0566558)",2.6497984253763147
Villa Aprica,hospital,"(45.8234998, 9.06106)",2.188063450801441
Fontana di Camerlata,fountain,"(45.790387, 9.0844808)",2.3787891389492755
Bani,pharmacy,"(45.8077281, 9.0844989)",0.45500244188988725
Cafè Maya,cafe,"(45.8059704, 9.0855155)",0.6614431950677427
Bar Caffè Mondo,bar,"(45.8006539, 9.0864665)",1.2556234141083495
Farmacia Santa Teresa,pharmacy,"(45.8120802, 9.0700556)",1.0597246406063896
Veterinario,veterinary,"(45.8081305, 9.0775815)",0.6242075286273598
Da Filippo,restaurant,"(45.7999701, 9.0896387)",1.3920783227157347
Caffetteria Olybar,cafe,"(45.8104027, 9.0929235)",0.734395809661957
Farmacia di Albate,pharmacy,"(45.7789329, 9.0979525)",3.8159047402859305
Credito Valtellinese,bank,"(45.8035449, 9.085285)",0.9239434538993813
Re. Mi. Garden Bar,bar,"(45.7872063, 9.0520811)",3.673843062173096
Caffè Maya,cafe,"(45.809675, 9.083619)",0.2342225742642581
Drago Verde,drinking_water,"(45.8128473, 9.0813452)",0.21689899051348818
Moschea,place_of_worship,"(45.7957064, 9.0942999)",1.9681445227854026
Carrefour Metano,fuel,"(45.7864641, 9.0538212)",3.648046642851626
CineTeatro Cristallo,theatre,"(45.7928936, 9.064733)",2.564681414776892
Capriccio,restaurant,"(45.8096348, 9.0871726)",0.36126274421162335
Il Gelatone,ice_cream,"(45.8033172, 9.0864428)",0.9649682704763891
Como 2,post_office,"(45.8031771, 9.0860461)",0.9738728637401285
Ton-Thai,restaurant,"(45.8033887, 9.0864125)",0.9566966166134127
Granpizza,food_court,"(45.8033493, 9.0864284)",0.9612409150136966
La Gitana,restaurant,"(45.8035136, 9.0863946)",0.9428529116404706
Carige,bank,"(45.801824, 9.086155)",1.1233433205049044
Castello d'Oro,restaurant,"(45.8020135, 9.086623)",1.1095150320071445
Santa Chiara,cafe,"(45.802027, 9.0861515)",1.101072157028045
Don Lisander,restaurant,"(45.8127247, 9.0778196)",0.4676373514568573
Credito Bergamasco,bank,"(45.8127829, 9.0782859)",0.43400531680778154
Gelateria Lariana,ice_cream,"(45.8128554, 9.0797402)",0.32887534496723075
13:13,restaurant,"(45.8117663, 9.0849337)",0.09721516162464539
La Nuova Vignascia,cafe,"(45.8223369, 9.061948)",2.0566439381493673
Bar di Prestino,bar,"(45.801143, 9.0586316)",2.278234941408139
Farmacia di Prestino,pharmacy,"(45.8011219, 9.0583236)",2.2999404154326997
Pub Il Ritrovo,pub,"(45.8009542, 9.0585507)",2.2945515919555075
Poste Italiane,post_office,"(45.7789178, 9.079548)",3.6668705729040156
La Griglia,restaurant,"(45.8125285, 9.0852965)",0.15037284250792257
Cittadella,cafe,"(45.801726, 9.0930275)",1.3329704189354403
Cafè Thai,restaurant,"(45.8008683, 9.095322)",1.5132497956527031
Baby café,cafe,"(45.8017456, 9.0927485)",1.3194353527903044
Il Dadino,cafe,"(45.8036678, 9.0937034)",1.1916399685705545
Don Segundo Sombra,restaurant,"(45.8008873, 9.058293)",2.315511772636927
Cactus Juice Cafe - Como,restaurant,"(45.805696, 9.0871584)",0.728369514311272
Brigitte Café,bar,"(45.7978245, 9.0914362)",1.6642812074652642
Civico XV,pub,"(45.7989233, 9.093934)",1.63632419276325
Como 7,post_office,"(45.7944276, 9.0965658)",2.173363711969254
Crotto del Tiglio,restaurant,"(45.8233266, 9.0655512)",1.9058586416071097
Como Centro,post_office,"(45.8101883, 9.07601)",0.6221520134181295
L'Ultimo Café,bar,"(45.8052425, 9.0864084)",0.7570713519311042
Cioccolati Italiani,cafe,"(45.8059014, 9.0847182)",0.6585290679748248
Birreria 35,pub,"(45.8080492, 9.0835757)",0.4149572952789723
Mad Café,bar,"(45.8125727, 9.0876786)",0.322747616436243
Gelateria Chiara,ice_cream,"(45.8144859, 9.0840865)",0.3021813282838731
Arte Dolce - Cremeria Bolla,cafe,"(45.8076448, 9.0843786)",0.4629878328498174
Questura di Como,police,"(45.8036788, 9.0828968)",0.9027041640266896
Como San Giovanni FS,bus_station,"(45.8089888, 9.0730457)",0.8831800303374987
Como Sant'Agostino,bus_station,"(45.8151524, 9.0839877)",0.37537772356662963
Burgez,fast_food,"(45.8073783, 9.084557)",0.4941327556444307
Como,ferry_terminal,"(45.8134817, 9.0797573)",0.35889225088764753
Tavernola,ferry_terminal,"(45.8308936, 9.0725444)",2.293829064329164
Pronto Soccorso Veterinario,veterinary,"(45.7986858, 9.0866073)",1.4732330320300469
Cardamomo,restaurant,"(45.804709, 9.0916882)",1.0025844767084657
Como 5,post_office,"(45.8072852, 9.0960385)",1.0826314616103911
Pinzimonio,restaurant,"(45.8095329, 9.0831466)",0.2534187006100957
Abbeveratoio del Genio Militare,fountain,"(45.8208667, 9.0405792)",3.4988788402531763
Nostrale,bar,"(45.7842608, 9.0706095)",3.2233357416391444
Hotel Ristorante Falchetto,restaurant,"(45.8234935, 9.0877193)",1.3389861279754751
Panino Buono,cafe,"(45.8112348, 9.0789355)",0.37399077279994486
Sakura Sushi,restaurant,"(45.8074369, 9.0766955)",0.7267882418707301
Farmacia Tioli,pharmacy,"(45.8085708, 9.0790123)",0.5091024392085738
Caffè Varese,bar,"(45.8083667, 9.079268)",0.5117192542902737
Funicolare,bicycle_rental,"(45.8175504, 9.082719)",0.6455270318578878
Municipio,bicycle_rental,"(45.8096815, 9.085081)",0.25749276201990545
Vittoria,bicycle_rental,"(45.8058578, 9.0851748)",0.6685725187872346
Villa Olmo,bicycle_rental,"(45.818257, 9.0666928)",1.5038974848310978
RFI San Giovanni,bicycle_rental,"(45.8086244, 9.073454)",0.8690945568185848
Esselunga,parking_entrance,"(45.7903094, 9.0826088)",2.388066764759582
Credito Valtellinese,bank,"(45.8153265, 9.0850048)",0.40715277929790045
Bilen,restaurant,"(45.8009065, 9.0866027)",1.229886498387688
Tavola calda F.lli Maiorca,cafe,"(45.8005385, 9.0908897)",1.3694831676122763
IP,fuel,"(45.8364829, 9.0658114)",3.076740747003749
Arnold' s,pub,"(45.8158247, 9.0661476)",1.4350767406089655
Sunrise,bar,"(45.8156042, 9.066092)",1.4317212033541082
Ristorante Raimondi,restaurant,"(45.8286141, 9.07019)",2.144696576884793
Biblioteca di Giurisprudenza e Scienze Umane,library,"(45.8108247, 9.0758635)",0.6170315233235683
La Pizzaccia,restaurant,"(45.8031188, 9.0834357)",0.9630670697329943
La Lucernetta,theatre,"(45.8086039, 9.0858986)",0.39296017558807456
Farmacia Arienti,pharmacy,"(45.802303, 9.0865271)",1.0764924606508022
Babylandia,kindergarten,"(45.7995569, 9.0941044)",1.5819285635780675
Università della terza Età,community_centre,"(45.7996641, 9.0945868)",1.5913578735977563
Caffé Maya,cafe,"(45.802605, 9.0819383)",1.0289606338810997
La Pesa Trattoria Bar,bar,"(45.8026723, 9.0820241)",1.0206820554534006
Just Art Café,bar,"(45.8131649, 9.0834618)",0.1546843429087024
Kazan Sushi,restaurant,"(45.8144287, 9.0845561)",0.30191564246404073
Orologio,restaurant,"(45.8146809, 9.084579)",0.3296616516261279
Jean Caffé,cafe,"(45.811335, 9.0860204)",0.1883313219336312
Ristoran e pizzrris griglieria lerill,restaurant,"(45.8174347, 9.0830326)",0.6303342705475018
La Darsena Ristorante Pizzeria,restaurant,"(45.816829, 9.0829897)",0.5635640209888718
Panino Buono Vista Lago,bar,"(45.8164008, 9.0829376)",0.5166472722065384
L'antica Riva,restaurant,"(45.8164028, 9.0830541)",0.5159315174686433
Fontana D'oro,restaurant,"(45.8164926, 9.083333)",0.5242976058993808
Centro - Lago,parking,"(45.8122045, 9.0768909)",0.5300152050334643
Caffé Alessandro Volta,cafe,"(45.8120029, 9.0800321)",0.28484085680397647
Farmacia Internazionale,pharmacy,"(45.8122078, 9.0804791)",0.25349595217204496
Farmacia Trimarco,pharmacy,"(45.8122622, 9.0813703)",0.1875278371591745
Il Cappuccino Bar Tabacchi,bar,"(45.8124695, 9.0837193)",0.07648417998133926
