val;C0;C5;C10;C15;C20;C25;C30;C35;C40;C45;C50;C55;C60;C65;C70;C75;C80;C85;C90;C95;C100;C105;C110;C115;C120;C125;C130;C135;C140;C145;C150;C155;C160;C165;C170;C175;C180
0,00;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45;84,45
1,00;86,95;87,23;86,96;87,16;86,88;86,86;86,62;86,70;86,44;86,47;86,17;85,91;85,84;85,77;85,20;85,62;85,02;84,78;84,48;84,38;84,34;84,19;83,77;83,59;83,29;83,13;82,94;82,80;82,60;82,46;82,35;82,31;82,27;82,11;82,09;82,04;81,66
2,00;89,60;89,71;89,71;89,63;89,66;89,30;89,14;88,81;88,74;88,28;87,91;87,86;87,26;87,00;86,50;86,50;85,32;85,17;84,68;84,45;84,26;83,57;83,12;82,50;82,23;81,93;81,90;81,37;81,41;81,18;80,93;81,07;80,93;80,92;80,78;80,88;79,60
3,00;92,53;92,68;92,44;92,48;92,29;91,81;91,69;91,13;90,90;90,35;89,85;89,26;88,88;88,54;87,56;88,08;86,04;85,99;85,08;84,68;84,52;83,59;83,08;81,71;81,78;81,71;81,46;81,34;81,04;80,92;80,45;80,47;80,10;80,13;79,87;79,90;78,94
4,00;95,25;95,68;95,29;95,47;94,74;94,40;94,05;93,69;93,19;92,57;91,92;91,43;90,42;90,05;89,23;89,32;87,62;87,12;85,77;85,24;84,75;83,57;83,08;81,81;82,35;81,67;81,60;81,11;80,81;80,35;80,33;79,53;79,62;79,34;79,25;79,19;77,54
5,00;98,20;98,23;98,18;97,49;97,37;96,77;96,34;95,98;95,42;94,71;93,96;93,35;92,48;91,74;90,36;90,34;88,76;87,91;86,14;85,31;84,11;83,40;82,82;82,20;82,04;81,78;81,11;80,69;80,55;80,21;79,78;79,49;78,98;79,23;78,68;78,74;77,68
6,00;102,02;101,50;101,63;100,92;100,21;99,67;98,86;98,42;97,67;96,81;96,17;95,56;94,63;93,85;91,96;91,10;89,63;88,39;86,29;84,98;83,62;83,13;82,59;81,67;81,29;80,88;80,47;80,65;79,91;79,86;79,36;78,82;78,56;78,10;77,24;77,65;76,74
7,00;111,57;107,50;108,04;105,38;105,29;103,00;102,48;101,27;99,99;99,18;98,42;97,33;96,44;95,09;93,17;91,78;89,93;88,32;86,03;84,56;82,94;82,26;81,91;81,37;80,65;80,16;79,84;79,79;79,35;79,00;76,63;77,49;72,25;71,80;71,54;69,25;75,48
8,00;126,34;118,21;118,35;115,14;113,25;110,17;107,79;104,74;103,45;101,74;100,71;99,14;97,65;96,14;94,01;92,58;90,20;88,47;85,99;84,26;82,75;82,19;81,57;80,32;80,05;79,95;79,30;78,84;76,39;75,46;72,22;67,17;66,44;66,03;64,85;65,13;64,38
9,00;159,27;137,79;136,65;131,07;128,17;121,32;116,69;111,94;108,35;104,93;103,12;101,17;98,77;97,08;94,92;93,25;90,69;88,69;86,07;84,01;82,64;81,92;80,81;79,79;79,67;79,23;78,66;77,83;72,22;66,98;65,64;65,36;64,12;63,13;62,07;61,60;62,18
10,00;192,49;171,86;168,52;161,90;152,62;142,12;132,96;122,90;116,05;110,67;106,20;102,98;100,05;98,05;95,83;93,63;90,99;88,96;86,26;83,96;82,71;81,89;80,84;79,60;79,34;78,47;72,90;67,61;66,22;65,25;63,42;62,09;60,44;59,79;58,34;57,89;58,73
11,00;219,39;206,09;200,75;194,80;186,21;174,05;158,59;143,06;128,90;118,83;110,73;105,67;101,48;98,96;96,51;94,27;91,56;89,11;86,59;83,59;82,94;82,08;80,74;79,72;79,16;77,96;69,99;66,22;64,15;62,06;59,78;58,52;56,52;55,36;54,40;53,49;54,32
12,00;240,19;230,67;226,02;221,53;214,20;204,12;188,97;172,01;150,44;131,97;118,35;109,50;103,59;99,79;97,03;94,23;91,98;89,33;86,28;83,40;82,59;81,69;80,35;79,30;78,74;68,40;65,88;63,29;61,18;59,01;56,46;54,02;52,10;51,48;50,76;49,54;50,27
13,00;259,60;251,51;247,54;243,13;235,55;227,22;214,37;199,14;178,36;151,87;129,01;115,21;106,24;101,18;97,49;94,62;92,05;89,79;86,07;83,10;82,03;80,70;79,13;78,77;73,02;66,57;64,27;60,85;57,91;55,04;52,68;50,63;49,25;48,10;47,47;46,88;47,41
14,00;274,52;269,67;265,69;262,27;255,39;246,84;234,81;222,02;203,81;178,90;147,47;124,52;110,57;103,02;98,33;96,00;92,70;90,39;86,17;82,76;81,38;80,03;78,19;77,42;69,43;63,83;61,28;58,25;54,71;51,46;49,57;47,75;46,37;45,43;44,88;44,44;44,76
15,00;289,14;285,12;281,48;278,36;271,99;264,33;252,95;241,18;223,66;201,97;172,04;138,41;115,94;106,10;99,35;96,81;93,72;90,32;85,68;82,01;80,28;78,84;76,64;76,21;64,86;60,63;58,03;54,75;51,57;48,31;46,80;45,41;44,38;43,67;43,66;43,31;42,78
16,00;302,45;299,32;295,04;293,14;286,02;278,79;268,87;257,11;241,16;222,24;194,74;159,63;124,33;111,02;100,78;97,87;94,02;90,30;85,24;81,00;78,77;77,65;75,28;71,00;61,62;57,89;54,94;51,22;48,99;46,09;44,81;43,84;43,30;43,03;42,99;42,94;42,26
17,00;314,86;312,38;309,28;306,03;299,62;292,46;281,84;270,64;256,07;237,72;214,18;180,37;138,78;117,05;102,69;98,66;94,14;89,97;84,68;80,20;78,09;76,21;73,98;64,71;58,63;55,94;51,65;48,48;46,48;44,63;43,63;43,09;42,81;42,46;42,50;42,26;41,90
18,00;327,51;325,32;322,08;319,96;311,81;304,89;295,02;283,23;269,77;253,06;230,41;201,82;159,27;125,72;105,07;98,65;94,52;88,96;83,73;79,23;76,65;75,11;71,78;62,31;56,75;52,93;48,64;45,92;44,68;43,54;42,82;42,40;41,87;41,60;40,34;40,31;40,94
19,00;339,63;338,24;335,35;332,48;324,70;318,07;307,24;296,27;282,91;266,18;244,78;218,95;181,27;137,63;107,88;99,23;93,91;88,09;82,46;78,10;75,22;73,97;66,93;59,18;54,38;49,85;46,13;44,04;43,22;42,52;41,85;41,17;39,67;38,51;37,47;36,36;38,07
20,00;350,07;350,56;346,35;344,57;336,77;330,13;318,76;308,21;294,27;278,88;257,90;234,32;199,39;155,37;111,51;99,07;92,54;86,77;81,23;77,31;73,66;72,46;62,01;56,85;52,01;47,06;43,98;42,36;41,87;41,09;40,54;38,84;37,00;35,15;34,68;34,14;34,39
21,00;359,41;360,70;357,18;355,22;348,50;342,35;330,34;319,59;304,49;290,71;269,59;248,08;214,51;174,02;116,63;99,67;91,53;86,19;80,96;76,19;72,29;70,88;59,00;54,03;49,53;45,19;42,33;41,18;40,16;39,63;37,94;35,72;34,46;33,60;33,14;32,64;32,70
